filename,input_string
image_1.png,"Meeting @ Stanford Univeristy,  April 7, 1919"
image_2.png,"Meeting @ Columbia University, Feb. 28-March 1, 1919"
image_3.png,"Annual Meeting in Chicago, Dec. 28 -30, 1920"
image_4.png,"Meeting @ Washington, April 22-23, 1921"
image_5.png,"Meeting @ Washington, April 22-23, 1921"
image_6.png,"Meeting @ Columbia University, Feb. 25, 1922 "
image_7.png,"Meeting @ Columbia University, Feb. 23 1924"
image_8.png,"Meeting @ Chicago, Dec. 29-27, 1926 "
image_9.png,"Meeting at the University of Pennsylvania, Dec. 28-30, 1926"
image_10.png,"Meeting @ Washington, April 22 -23, 1927"
image_11.png,"Joint Meeting with the Optical Society of America @ New York City, Feb. 25-26, 1928"
image_12.png,"Joint Meeting with the Optical Society of America @ New York City, Feb. 24-25, 1928"
image_13.png,"Meeting @ Washington, April 20-21, 1928"
image_14.png,"Meeting @ Pomona College, June 15,1928"
image_15.png,"Joint Meeting with the Optical Society of America @ New York City, Feb. 22-23, 1929"
image_16.png,"Meeting @ Stanford University,  December 7, 1929"
image_17.png,"Meeting @ Washington, April 24-26, 1930"
image_18.png,"Meeting @ Washington, April 24-26, 1930"
image_19.png,"Meeting @ Washington, April 24-26, 1930"
image_20.png,"Meeting @ Cornell, Ithaca, NY, June 19-21, 1930"
image_21.png,"Meeting @ Eugene, OR,  June 19-20, 1930"
image_22.png,"Meeting @ Los Angeles, CA, Dec. 12-13, 1930"
image_23.png,"Meeting @ Cleveland, Dec. 30-31, 1930"
image_24.png,"Meeting @ Cleveland, Dec. 30-31, 1930"
image_25.png,"Joint Meeting with the Optical Society of America @ New York City, Feb. 26-28, 1931 "
image_26.png,"Joint Meeting with the Optical Society of America @ New York City, Feb. 26-28, 1931 "
image_27.png,"Meeting @ Washington, April 30 – May 2, 1931"
image_28.png,"Meeting @ Washington, April 30 – May 2, 1931"
image_29.png,"Meeting @ Washington, April 30 – May 2, 1931"
image_30.png,"Meeting @ Washington, April 30 – May 2, 1931"
image_31.png,"Meeting @ Washington, April 30 – May 2, 1931"
image_32.png,"Joint meeting with Section B of AAAS @ Pasadena, June 15-20, 1931"
