,name,start,end,institution
0,Jutta Luettmer-Strathmann,2010,2024,Akron
1,Ichiro Miyagawa,1965,1985,Alabama
2,"Chester Alexander, Jr.",1968,1990,Alabama
3,John H. Young,1978,1982,UAB
4,James C. Martin,1980,1995,UAB
5,Thomas M. Nordlund,1990,2019,UAB
6,Joseph G. Harrison,1992,2010,UAB
7,Xujing Wang,2008,2013,UAB
8,Tara Prasad Das,1971,2013,Albany
9,Charles P. Scholes,1975,1990,Albany
10,Carolyn MacDonald,1986,2024,Albany
11,Keith Earle,2012,2024,Albany
12,Ralph W.G. Wyckoff,1959,1977,Arizona
13,Rein Kilkson,1970,1992,Arizona
14,John O. Kessler,1974,2013,Arizona
15,William S. Bickel,1976,1996,Arizona
16,Theodore Bowen,1980,1993,Arizona
17,Douglas J. Donahue,1980,2022,Arizona
18,Daniel L. Stein,1987,2005,Arizona
19,Ray Goldstein,1996,2006,Arizona
20,Koen Visscher,2000,2013,Arizona
21,Charles W. Wolgemuth,2012,2024,Arizona
22,Stuart M. Lindsay,1984,2024,Arizona State
23,Robert F. Marzke,1987,2012,Arizona State
24,Otto Sankey,1995,2011,Arizona State
25,Peter Rez,2001,2021,Arizona State
26,Timothy Newman,2002,2010,Arizona State
27,Michael Thorpe,2003,2019,Arizona State
28,Kong-Thon Tsen,2005,2024,Arizona State
29,Robert Ros,2008,2024,Arizona State
30,Banu Ozkan,2006,2024,Arizona State
31,Dimitry Matyushov,2006,2024,Arizona State
32,Sara Vaiana,2008,2024,Arizona State
33,Oliver Beckstein,2012,2024,Arizona State
34,Quan Qing,2013,2024,Arizona State
35,Richard Kirian,2014,2024,Arizona State
36,Rizal Hariadi,2016,2024,Arizona State
37,Steve Pressé,2017,2024,Arizona State
38,Douglas Shepherd,2019,2024,Arizona State
39,Jiali Li,2002,2024,Arkansas
40,Woodrow Shew,2012,2024,Arkansas
41,Pradeep Kumar,2013,2024,Arkansas
42,Yong Wang,2016,2024,Arkansas
43,Anton N.J. Heyn,1960,1962,Auburn
44,Paul Latimer,1962,1991,Auburn
45,Michael Gramlich,2019,2024,Auburn
46,Rafael Bernardi,2020,2024,Auburn
47,Steven L. Levy,2010,2024,Binghamton
48,Matthew Lee Ferguson,2013,2024,Boise State
49,Byung I. Kim,2004,2024,Boise State
50,Daniel Fologea,2011,2024,Boise State
51,Laxman Mainali,2019,2024,Boise State
52,H. Eugene Stanley,1975,2021,Boston U
53,Ken Rothschild,1976,2021,Boston U
54,Armand Siegel,1979,1982,Boston U
55,Rama Bansil,1980,2020,Boston U
56,Bernard Chasan,1983,2005,Boston U
57,Lee Makowski,1988,1993,Boston U
58,Shyamsunder Erramilli,1995,2024,Boston U
59,Pankaj Mehta,2010,2024,Boston U
